season,player_name,team,goals,played
2001,Julián Vásquez,america,24,
2001,Sergio Galván,caldas,23,
2001,Iván Velásquez,tolima,20,
2002-i,Luis Zuleta,magdalena,13,
2002-i,José Herrera,magdalena,12,
2002-i,Carlos Vilarete,magdalena,12,
2002-i,Leonardo Mina,cali,11,
2002-i,Carlos Castillo,cali,11,
2002-ii,Orlando Ballesteros,bucaramanga,13,
2002-ii,Milton Rodríguez,pereira,13,
2002-ii,Léider Preciado,cali,11,
2002-ii,Pablo Jaramillo,pasto,11,
2002-ii,Jairo Patiño,pasto,10,
2003-i,Arnulfo Valentierra,caldas,13,
2003-i,Julián Vásquez,america,11,
2003-i,Martín Arzuaga,junior,11,
2003-i,Leonardo Fabio Moreno,america,10,
2003-i,Léider Preciado,cali,10,
2003-ii,Léider Preciado,cali,17,
2003-ii,Rogeiro Pereira,tolima,12,
2003-ii,Carlos Castillo,cali,10,
2003-ii,Carlos Vilarete,magdalena,10,
2003-ii,Julián Téllez,millonarios,10,
2004-i,Sergio Herrera,america,13,
2004-i,Milton Rodríguez,pereira,12,
2004-i,Edixon Perea,nacional,11,
2004-i,John Felipe Rivas,bucaramanga,10,
2004-i,Luis Yanes,chico,10,
2004-ii,Leonardo Fabio Moreno,america,15,
2004-ii,Léider Preciado,santafe,15,
2004-ii,Milton Rodríguez,cali,13,
2004-ii,Iván Velásquez,tolima,12,
2004-ii,Hugo Rodallega,quindio,11,
2005-i,Víctor Hugo Aristizábal,nacional,16,
2005-i,Edixon Perea,nacional,15,
2005-i,Milton Rodríguez,cali,14,
2005-i,Orlando Ballesteros,envigado,14,
2005-i,Víctor Bonilla,tolima,14,
2005-ii,Hugo Rodallega,cali,12,
2005-ii,Jámerson Rentería,real-cartagena,12,
2005-ii,Blas Pérez,cali,9,
2005-ii,Jorge Díaz,huila,9,
2005-ii,Víctor Hugo Aristizábal,nacional,9,
2006-i,Jorge Díaz,cucuta,15,
2006-i,Dayro Moreno,caldas,14,
2006-i,Carlos Villagra,pasto,13,
2006-i,Sergio Galván,nacional,12,
2006-i,Carlos Darwin Quintero,tolima,12,
2006-ii,Diego Álvarez,medellin,11,
2006-ii,John Charria,tolima,11,
2006-ii,Orlando Ballesteros,millonarios,10,
2006-ii,Blas Pérez,cucuta,9,
2006-ii,Jersson González,chico,8,
2007-i,Freddy Montero,huila,13,
2007-i,Sergio Galván,nacional,13,
2007-i,Carlos Villagra,millonarios,10,
2007-i,Léider Preciado,santafe,10,
2007-i,César Valoyes,medellin,9,
2007-ii,Dayro Moreno,caldas,16,
2007-ii,Diego Cabrera,cucuta,15,
2007-ii,Carlos Daniel Hidalgo,pasto,13,
2007-ii,Carmelo Valencia,nacional,9,
2007-ii,Édison Toloza,quindio,9,
2008-i,Miguel Caneo,chico,13,
2008-i,Iván Velásquez,quindio,13,
2008-i,Luis Tejada,america,12,
2008-i,Léider Preciado,santafe,10,
2008-i,Carlos Rentería,huila,10,
2008-ii,Freddy Montero,cali,16,
2008-ii,Carlos Darwin Quintero,pereira,13,
2008-ii,Adrián Ramos,america,12,
2008-ii,Teófilo Gutiérrez,junior,11,
2008-ii,Milton Rodríguez,millonarios,11,
2009-i,Teófilo Gutiérrez,junior,16,
2009-i,Johan Fano,caldas,13,
2009-i,Pablo Batalla,cali,10,
2009-i,Roberto Gamarra,cucuta,10,
2009-i,Wilson Carpintero,equidad,9,
2009-ii,Jackson Martínez,medellin,18,
2009-ii,Teófilo Gutiérrez,junior,14,
2009-ii,Giovanni Moreno,nacional,13,
2009-ii,Iván Velásquez,huila,11,
2009-ii,Sergio Herrera,cali,10,
2009-ii,Omar Pérez,santafe,10,
2009-ii,Carlos Bacca,junior,9,
2009-ii,José Nájera,real-cartagena,9,
2009-ii,Johan Fano,caldas,9,
2009-ii,Néstor Salazar,real-cartagena,8,
2010-i,Carlos Bacca,junior,12,
2010-i,Carlos Rentería,equidad,12,
2010-i,Fernando Uribe,caldas,11,
2010-i,Giovanni Moreno,nacional,11,
2010-i,Franco Arizala,tolima,11,
2010-i,Luis Muriel,cali,9,
2010-i,Yovanny Arrechea,millonarios,8,
2010-i,Edison Giménez,medellin,8,
2010-i,Víctor Cortés,junior,8,
2010-i,Julián Barahona,pereira,7,
2010-ii,Wilder Medina,tolima,16,
2010-ii,Dayro Moreno,caldas,16,
2010-ii,Wilson Carpintero,cucuta,14,
2010-ii,Fernando Uribe,caldas,13,
2010-ii,Martín Morel,cali,11,
2010-ii,Carlos Rodas,quindio,10,
2010-ii,Jorge Perlaza,tolima,10,
2010-ii,Yovanny Arrechea,millonarios,10,
2010-ii,Luis Carlos Arias,medellin,9,
2010-ii,Léider Preciado,quindio,8,
2011-i,Carlos Rentería,nacional,12,
2011-i,Edison Toloza,millonarios,11,
2011-i,Wason Rentería,caldas,10,
2011-i,Dorlan Pabón,nacional,10,
2011-i,Wilder Medina,tolima,9,
2011-i,Diego Álvarez,cali,8,
2011-i,Néider Morantes,envigado,8,
2011-i,Carlos Bacca,junior,8,
2011-i,Emanuel Molina,real-cartagena,6,
2011-i,Luis Fernando Mosquera,medellin,6,
2011-ii,Carlos Bacca,junior,12,
2011-ii,Germán Cano,pereira,10,
2011-ii,Lionard Pajoy,aguilas,10,
2011-ii,Jhon Pajoy,caldas,10,
2011-ii,Édison Toloza,millonarios,9,
2011-ii,Luis Fernando Mosquera,medellin,8,
2011-ii,Hamilton Ricard,quindio,8,
2011-ii,Jairo Castillo,america,7,
2011-ii,Jaime Castrillón,medellin,7,
2011-ii,Víctor Cortés,junior,7,
2012-i,Robin Ramírez,tolima,13,
2012-i,Humberto Osorio,millonarios,11,
2012-i,Giovanni Hernández,junior,11,
2012-i,Efraín Viáfara,aguilas,10,
2012-i,Diego Cabrera,santafe,9,
2012-i,Edwards Jiménez,pasto,9,
2012-i,Omar Pérez,santafe,9,
2012-i,Milton Rodríguez,huila,9,
2012-i,James Castro,chico,8,
2012-i,Dorlan Pabón,nacional,8,
2012-ii,Germán Cano,medellin,9,
2012-ii,Carmelo Valencia,equidad,9,
2012-ii,Henry Hernández,cucuta,9,
2012-ii,Wilberto Cosme,millonarios,8,
2012-ii,Robin Ramírez,tolima,7,
2012-ii,Luis Fernando Mosquera,nacional,7,
